,name,host_name,host_location,host_response_time,host_is_superhost,host_listings_count,host_identity_verified,latitude,property_type,accommodates,bedrooms,price,maximum_nights,maximum_minimum_nights,maximum_maximum_nights,maximum_nights_avg_ntm,availability_60,availability_365,number_of_reviews_ltm,last_review,review_scores_cleanliness,review_scores_location,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_shared_rooms
2772,Joli T2 Lyon Croix Rousse,Fanny,"Lyon, France",,f,1.0,f,45.77501,Entire rental unit,4,1.0,,1125,365,1125,1125.0,0,0,0,2017-12-10,5.0,5.0,t,1,0
2773,Appartement moderne en plein coeur de Lyon,Romane,,,f,1.0,f,45.75662,Entire rental unit,5,2.0,,1125,365,1125,1125.0,0,0,0,,,,f,1,0
2774,Habiter Bellecour pour la fête des Lumières!,Agathe,"Lyon, France",,f,1.0,t,45.75345,Private room in rental unit,2,,,4,1,4,4.0,0,0,0,2017-12-10,4.0,5.0,f,0,0
2775,Fête des lumières - 180m2 / 6 chambres / BELLECOUR,Martine,,,f,1.0,f,45.76202,Entire rental unit,13,6.0,,1125,365,1125,1125.0,0,0,0,,,,f,1,0
2776,Grande chambre avec lit King proche Fourvière,Al,"Compiègne, France",,f,2.0,t,45.76685,Private room in rental unit,2,,,7,1,7,7.0,0,0,0,2017-12-10,4.0,4.5,t,0,0
2777,Chambre privée  idéale pour fête des Lumières,Anthony,"Lyon, France",,f,1.0,f,45.76719,Private room in rental unit,2,,,1125,1,1125,1125.0,0,0,0,,,,f,0,0
2778,chambre en mezzanine,Faïcel,"Lyon, France",,f,1.0,f,45.76983,Private room in rental unit,1,,,30,1,30,30.0,0,0,0,,,,f,0,0
2779,Lyon ville lumière,Anthony,"Lyon, France",,f,1.0,f,45.76221,Entire loft,3,,,1125,365,1125,1125.0,0,0,0,,,,f,1,0
2780,Very Central Cosy Flat Lyon Opéra,Mickael,,,f,2.0,t,45.76994,Entire condo,2,0.0,76.0,1125,1,1125,1125.0,48,144,112,2024-12-04,4.65,4.92,t,2,0
2781,Appartement T2 en hyper centre,Roman,"Lyon, France",,f,1.0,f,45.76565,Entire rental unit,3,1.0,,1125,365,1125,1125.0,0,0,0,2017-12-10,5.0,5.0,f,1,0
2782,"Vue exceptionnelle, calme. Vieux Lyon, Fourvière",Laetitia,"Lyon, France",within an hour,f,1.0,t,45.7616,Entire rental unit,5,3.0,170.0,1125,2,1125,1125.0,6,42,8,2024-10-07,4.8,4.98,f,1,0
2783,Guesthouse Lyon - vue sur Fourvière,Clement,"Lyon, France",,f,1.0,t,45.73685,Private room in rental unit,2,,,4,1,4,4.0,0,0,0,,,,f,0,0
2784,Appartement T2 spacieux en hyper-centre,Sylvain,"Lyon, France",,f,1.0,t,45.76721,Entire rental unit,3,1.0,,1125,365,1125,1125.0,0,0,0,,,,t,1,0
2785,appartement à croix-rousse,Arnaud,"Lyon, France",,f,1.0,t,45.77805,Entire rental unit,4,2.0,,1125,365,1125,1125.0,0,0,0,2020-03-15,4.67,4.78,f,1,0
