,name,host_name,host_location,host_response_time,host_is_superhost,host_listings_count,host_identity_verified,latitude,property_type,accommodates,bedrooms,price,maximum_nights,maximum_minimum_nights,maximum_maximum_nights,maximum_nights_avg_ntm,availability_60,availability_365,number_of_reviews_ltm,last_review,review_scores_cleanliness,review_scores_location,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_shared_rooms
6319,"Bohemian-chic studio, heart Presqu'île, Perrache",Damien,"Lyon, France",,f,177.0,t,45.74794,Entire rental unit,2,0.0,60.0,90,2,1125,1125.0,55,265,55,2024-12-04,4.65,4.39,f,107,0
6320,Nest in PartDieu District,Vincent,,a few days or more,f,1.0,t,45.75897,Entire rental unit,2,1.0,150.0,365,30,365,365.0,60,365,0,,,,f,1,0
6321,Bel appartement bien situé avec terrasse,Franck,"Lyon, France",,f,1.0,f,45.7559861,Entire rental unit,4,2.0,,50,2,50,50.0,0,0,2,2024-08-29,4.8,4.6,f,1,0
6322,Jolie chambre privée - accès balcon proche métro,Anna,"Lyon, France",,f,1.0,t,45.7809614,Private room in rental unit,2,,,14,2,14,14.0,0,0,0,2023-07-27,4.86,4.86,t,0,0
6323,"Bel appartement, calme, quartier du bon lait",Pascale,"Lyon, France",,f,1.0,t,45.73448,Entire rental unit,4,2.0,,30,3,30,30.0,0,0,0,2022-11-04,5.0,5.0,f,1,0
6324,Cosy Appartement  Part Dieu,Aurelie,"Lyon, France",a few days or more,f,1.0,t,45.7608872463387,Entire rental unit,4,1.0,74.0,30,10,30,30.0,45,91,7,2024-11-15,4.44,4.89,f,1,0
6325,Appartement avec terrasse et vue,Corentin,"Lyon, France",,f,1.0,t,45.77849,Entire loft,6,2.0,141.0,31,6,31,31.0,0,141,0,,,,f,1,0
6326,Chambre proche Grange Blanche,Quentin,"Lyon, France",within an hour,f,1.0,t,45.73959,Private room in rental unit,2,1.0,83.0,365,1,365,365.0,42,347,1,2024-10-15,5.0,5.0,f,0,0
6327,L'appart,Loic,"Lyon, France",within an hour,f,1.0,t,45.75472,Private room in bed and breakfast,1,1.0,41.0,365,1,365,365.0,41,329,8,2024-12-06,4.88,4.63,t,0,0
6328,Appartement typique Lyon - Emplacement idéal,Julie,"Lyon, France",within a day,f,1.0,t,45.76893,Entire rental unit,4,2.0,200.0,20,6,20,20.0,19,19,1,2024-12-08,5.0,5.0,f,1,0
6329,Part Dieu Chambre Appartement calme avec terrasse,Seb,"Lyon, France",,t,1.0,t,45.7548541286245,Private room in rental unit,2,,,365,1,365,365.0,0,0,3,2024-06-23,5.0,5.0,f,0,0
6330,T2 Laennec,Khouloud,,within an hour,t,2.0,t,45.73883,Entire rental unit,4,1.0,70.0,365,365,365,365.0,48,163,57,2024-10-26,4.78,4.65,f,2,0
6331,Charmant studio au coeur du Vieux Lyon,Léa,"Lyon, France",within a few hours,t,1.0,t,45.7649778,Entire rental unit,2,1.0,,1125,4,1125,1125.0,0,0,13,2024-11-02,4.82,5.0,f,1,0
6332,Honorê Suite Casamance,Carine & Daniel,"Lentilly, France",within an hour,f,23.0,t,45.75145,Entire rental unit,4,1.0,84.0,1125,3,1125,1125.0,44,242,3,2024-10-16,4.9,5.0,f,20,0
6333,La Suite Sépia - Superbe appartement Vieux Lyon,Romain,"Lyon, France",within an hour,,104.0,t,45.7648281507953,Entire rental unit,4,1.0,75.0,1125,3,1125,188.1,56,361,29,2024-12-04,4.63,4.77,f,52,0
6334,Nid de l’Opéra - Hypercentre,Clément,"Lyon, France",within an hour,t,9.0,t,45.76968,Entire rental unit,4,1.0,119.0,1125,2,1125,188.9,27,295,58,2024-11-28,4.86,4.92,t,4,0
6335,Appartement chaleureux proche de la presqu’île,Fanny,"Lyon, France",within an hour,f,1.0,t,45.74287,Entire rental unit,4,2.0,110.0,15,2,15,15.0,40,59,6,2024-12-12,4.17,4.96,f,1,0
6336,Logement convivial et moderne avec belle Terrasse,Ségolène,"Paris, France",a few days or more,f,1.0,t,45.77703,Entire rental unit,4,2.0,150.0,7,2,7,7.0,58,363,0,,,,f,1,0
6337,Maison de ville lumineuse avec terrasse sud,Quentin,"Lyon, France",within a few hours,t,1.0,t,45.7312908,Entire townhouse,6,2.0,,30,3,30,30.0,1,1,6,2024-11-17,4.69,4.81,f,1,0
6338,Appartement chaleureux chez Corinne !,Corinne,"Lyon, France",,f,1.0,f,45.749009524492,Entire rental unit,3,1.0,,365,1,365,365.0,0,0,0,,,,t,1,0
6339,Charmant appartement au coeur de croix rousse,Vincent,,,f,1.0,t,45.78061,Entire condo,6,3.0,,30,2,30,30.0,0,0,0,2023-09-18,4.64,4.86,f,1,0
6340,Appartement Cosy en RDC de maison à Lyon,Claire,"Lyon, France",within an hour,t,1.0,t,45.7311529,Entire guest suite,4,1.0,80.0,365,1,365,365.0,17,252,13,2024-12-08,4.95,4.78,f,1,0
6341,"Le Creuset Lyonnais, avec jardin et climatisation",Lily,"Besançon, France",within an hour,f,1.0,t,45.7541094,Entire rental unit,4,1.0,55.0,14,3,1125,1125.0,47,124,24,2024-11-18,4.6,4.57,f,1,0
6342,Appartement Lyon cœur Croix Rousse,Matthieu,,,f,1.0,t,45.77472,Entire rental unit,2,1.0,,365,2,365,365.0,0,0,0,2023-04-20,4.36,4.86,t,1,0
6343,Le petit Montel- studio avec garage-métro Valmy,David,"Lyon, France",within an hour,f,134.0,t,45.7758,Entire rental unit,4,1.0,39.0,1125,365,686,503.4,57,362,16,2024-09-11,4.32,4.25,t,83,0
6344,Private room in a beautiful appartement,Nicolás,"Bogotá, Colombia",,f,1.0,t,45.7546455160377,Private room in rental unit,2,,,10,1,10,10.0,0,0,0,,,,f,0,0
6345,Charmant appartement avec place de parking,Hélène,"Lyon, France",,f,1.0,t,45.75959,Entire rental unit,4,1.0,,12,2,12,12.0,0,0,0,,,,f,1,0
6346,The Provost's Suite,Mary,"Lyon, France",within a few hours,f,3.0,t,45.7977492,Private room in castle,4,2.0,180.0,365,1,365,365.0,45,349,1,2024-08-07,4.5,4.9,f,0,0
6347,Appartement Cyan - Welkeys,Welkeys,"Paris, France",within an hour,f,153.0,t,45.7637181,Entire rental unit,2,1.0,50.0,1125,3,1125,32.5,9,295,8,2024-12-06,4.33,4.74,t,14,0
6348,Charming apartment with terrace - Old Lyon,Valentin,"Lyon, France",within an hour,f,1.0,t,45.7649778,Entire rental unit,2,1.0,82.0,1125,3,1125,1125.0,54,355,31,2024-10-27,4.74,5.0,f,1,0
6349,Oasis de charme et confort avec vue magnifique,Paola,"Lyon, France",within an hour,t,1.0,t,45.771376,Entire rental unit,2,1.0,100.0,365,6,1125,1125.0,3,75,10,2024-11-03,4.87,4.83,f,1,0
6350,"Neat and ideally located apartment, Perrache",Damien,"Lyon, France",,f,177.0,t,45.74418,Entire rental unit,4,2.0,,90,30,1125,1125.0,0,0,19,2024-07-21,4.73,4.58,f,107,0
6351,Superbe appartement rénové proche de l'Ile Barbe,Olivier,"Lyon, France",,f,2.0,t,45.79858,Entire rental unit,2,1.0,,365,30,365,365.0,0,0,0,,,,f,2,0
6352,Appartement de charme proche quai du Rhône.,Bastien,"Lyon, France",,f,84.0,t,45.76492,Entire rental unit,6,2.0,129.0,365,2,365,361.3,25,25,16,2024-08-22,4.75,4.92,f,65,0
6353,Superbe duplex refait à neuf et entièrement équipé,Valentin,,within an hour,f,1.0,t,45.76775,Entire rental unit,2,1.0,77.0,365,30,1125,1125.0,9,247,1,2024-06-02,3.67,5.0,f,1,0
6354,Lovely studio in lyon city center,Juan Sebastian,"Lyon, France",within an hour,f,1.0,t,45.763045169461,Entire condo,4,1.0,55.0,28,1,28,28.0,11,11,1,2024-12-10,4.12,4.54,f,1,0
6355,Charmant 2 pers atypique avec terrasse-métro,David,"Lyon, France",within an hour,f,134.0,t,45.77079,Entire rental unit,2,1.0,47.0,1125,31,686,503.4,37,342,19,2024-10-18,4.58,4.55,t,83,0
6356,Bel Appartement de 57m2 au cœur du 6e,Abdenaceur,"Lyon, France",within a few hours,t,1.0,t,45.7720803656593,Entire rental unit,3,1.0,155.0,90,1,90,90.0,55,360,10,2024-12-08,4.43,4.93,f,1,0
6357,Lyon-Bellecour ! Bed&Breakfast très cosy,Isabelle,"Lyon, France",,f,1.0,f,45.754527258772,Private room in bed and breakfast,2,1.0,,5,4,5,5.0,53,358,0,,,,f,0,0
6358,"Appart Canut, cœur Croix Rousse",Vincent,"Lyon, France",,f,1.0,t,45.7787910612883,Entire rental unit,4,2.0,,365,1,365,365.0,0,0,0,2023-04-27,5.0,5.0,f,1,0
6359,L'Opéra 2 - RDC - Joli studio Hôtel de Ville,Romain,"Lyon, France",within an hour,,104.0,t,45.76838,Entire rental unit,3,1.0,70.0,1125,3,1125,194.7,39,344,62,2024-12-09,4.53,4.89,f,52,0
6360,Arty - Nice studio place Valmy,Romain,"Lyon, France",within an hour,,104.0,t,45.77489,Entire rental unit,4,1.0,64.0,1125,3,1125,200.6,49,328,21,2024-12-02,4.77,4.57,f,52,0
6361,Victor Hugo proche place Bellecour - Appartement,2beapart,"Lyon, France",within an hour,t,51.0,t,45.7557822,Entire rental unit,4,2.0,78.0,1125,30,1125,340.0,0,303,0,,,,f,51,0
6362,Vieux Lyon quiet Fully refurbished 1-BDR Georges,Alice,"Lyon, France",within a few hours,f,41.0,t,45.75841,Entire rental unit,2,1.0,148.0,1125,30,1125,1125.0,23,264,0,,,,f,37,0
6363,Croix Rousse quiet and comfortble 1-BDR Parchemin,Alice,"Lyon, France",within a few hours,f,41.0,t,45.76941,Entire rental unit,2,1.0,,1125,30,1125,1125.0,2,2,0,2023-09-15,4.0,4.0,f,37,0
6364,Studio Manufacture des Tabacs,Junien,"Lyon, France",,f,1.0,t,45.7469904461211,Entire rental unit,2,1.0,50.0,90,2,90,90.0,0,153,0,2023-06-26,4.33,4.67,f,1,0
6365,Joli canut vue sur la Saône et Fourvière,Caroline,"Lyon, France",,f,1.0,t,45.7692103,Entire rental unit,2,1.0,,365,4,365,365.0,0,0,0,2022-11-02,4.67,4.67,f,1,0
6366,"Functional and well located apartment, heart 6th",Damien,"Lyon, France",,f,177.0,t,45.76853,Entire rental unit,2,0.0,64.0,90,2,1125,1125.0,57,267,25,2024-11-24,4.55,4.88,f,107,0
6367,Le Nova - Centre ville / Parc Tête d'Or,Romain,"Lyon, France",within an hour,,104.0,t,45.76775,Entire rental unit,4,1.0,,1125,1,1125,1125.0,0,0,0,2022-12-30,4.81,4.86,f,52,0
6368,Appartement idéal Lyon part Dieu avec balcon,Alexandra,"Lyon, France",,f,1.0,t,45.7581408793893,Entire condo,2,1.0,,30,10,30,30.0,0,0,0,,,,f,1,0
6369,Nid douillet COSY très proche du centre,Youssef,,a few days or more,f,1.0,t,45.7327775754625,Entire condo,4,1.0,62.0,365,3,365,365.0,48,353,0,2022-08-15,5.0,5.0,f,1,0
6370,L’Oiselière : Magnifique appartement T2 4personne,Steven,"Lyon, France",,t,1.0,t,45.7746332,Entire rental unit,4,1.0,82.0,365,365,365,365.0,60,365,23,2024-09-12,4.58,4.63,f,1,0
6371,Pied à terre lyonnais,Lucas,"Sornay, France",within an hour,f,1.0,t,45.73876,Entire rental unit,2,1.0,67.0,7,1,7,7.0,0,288,1,2024-10-18,4.8,4.7,f,1,0
6372,"Chambre privée, appart lumineux proche de la gare",Louise,"Lyon, France",within an hour,f,1.0,t,45.7564,Private room in rental unit,2,1.0,54.0,30,3,30,30.0,7,193,10,2024-11-01,4.44,4.81,f,0,0
6373,"Magnifique appartement avec terrasse,  chez Sonia",Sonia,"Lyon, France",within an hour,f,1.0,t,45.74041,Entire rental unit,4,3.0,157.0,17,7,17,17.0,0,26,2,2024-12-09,4.75,5.0,f,1,0
6374,Lyon MontChat Appartement 1 Chambre + Mezzanine,Camille,"Lyon, France",,t,1.0,t,45.75321,Entire rental unit,4,2.0,,365,2,365,365.0,0,0,6,2024-08-13,4.83,4.8,f,1,0
6375,"Atypique, calme et lumineux",Florent,"Lyon, France",within a few hours,t,2.0,t,45.768166,Entire rental unit,2,1.0,73.0,365,2,365,365.0,41,203,29,2024-12-08,4.97,5.0,f,1,0
6376,Lyon: Séjour chez Dalia. Chambre privée,Dalia,"Lyon, France",within an hour,f,2.0,t,45.74593,Private room in rental unit,1,1.0,46.0,15,1,15,15.0,25,110,23,2024-11-12,4.91,4.65,f,1,0
6377,Lyon 3 Montchat : joli T1 bis,Mélanie,"Lyon, France",within a day,f,2.0,t,45.74602,Entire rental unit,2,0.0,48.0,365,30,365,365.0,58,363,0,2022-12-03,5.0,4.0,f,2,0
6378,LE NID DES CEDRES - Studio terrasse Montplaisir,Agence COCOONR / BOOK&PAY,"Rennes, France",,f,3535.0,t,45.7485086,Entire rental unit,2,0.0,78.0,365,5,365,365.0,4,293,1,2024-10-19,5.0,5.0,f,43,0
6379,"Au coeur de Lyon, appartement typique avec cachet",Pierrick,"Lyon, France",,f,1.0,t,45.7746693,Entire rental unit,2,1.0,,365,3,365,365.0,0,0,1,2024-06-04,4.8,4.53,f,1,0
6380,Super appartement avec vue sur Fourvière,Greg,"Lyon, France",within a day,f,1.0,t,45.7591785,Entire rental unit,2,1.0,,365,2,365,365.0,0,0,5,2024-12-08,4.43,4.86,f,1,0
6381,"Lyon Part Dieu, appartement 52m2 proche commodité",Laurent,"Lyon, France",within a few hours,f,1.0,f,45.7569130924944,Entire condo,3,1.0,44.0,40,30,1125,1125.0,15,245,1,2024-09-24,4.0,5.0,t,1,0
6382,Dual-aspect flat Part-Dieu/Métro Garibaldi,Aline,"Lyon, France",within an hour,f,62.0,t,45.7522857,Entire serviced apartment,6,2.0,98.0,1125,1,1125,1125.0,36,83,30,2024-11-29,4.71,4.68,t,21,0
6383,Charming flat near La Part-Dieu district,Aline,"Lyon, France",within an hour,f,62.0,t,45.7591576,Entire rental unit,4,1.0,81.0,365,1,1125,1125.0,59,226,9,2024-10-17,4.69,4.81,t,21,0
6384,Apt 35m² avec parking privé sur les quais de Saône,Jeannine,,within a day,f,3.0,t,45.7727340325958,Entire rental unit,3,1.0,90.0,30,2,30,30.0,0,166,6,2024-12-08,4.71,4.43,f,1,0
6385,Au bord de Saône,Laetitia,"Lorette, France",,f,2.0,t,45.76548,Entire rental unit,4,1.0,,14,3,14,14.0,0,0,0,,,,f,1,0
6386,GuestReady - Cosy 2-bed Apt near Part Dieu,GuestReady,,,f,1.0,t,45.75539,Entire rental unit,4,1.0,,1125,1,1125,501.6,0,227,11,2024-09-27,4.35,4.39,t,1,0
6387,Vieux Lyon : bel appartement 2 pièces Mezzanine,Gilles,"Régnié-Durette, France",within an hour,t,8.0,t,45.75738,Entire rental unit,7,1.0,135.0,1125,2,1125,1125.0,32,298,9,2024-12-01,4.89,4.8,t,7,0
6388,Lyon 1 chambre privée tout confort,Isabelle,,,f,2.0,f,45.753494,Private room in casa particular,2,1.0,101.0,365,2,365,365.0,17,17,0,,,,f,0,1
6389,Bel appart - 42m2 Lyon 4e - à 10 min du métro.,Keith B.,"Lyon, France",,f,1.0,t,45.78308,Entire condo,2,1.0,500.0,20,2,20,20.0,59,89,0,2022-08-16,5.0,5.0,f,1,0
6390,Studio lumineux à louer,Madiagne,"Lyon, France",within an hour,f,1.0,t,45.7336671177039,Entire rental unit,1,1.0,,1125,2,1125,1125.0,0,1,4,2024-03-10,4.2,4.4,f,1,0
6391,Studio moderne proche Métro D avec jardin,Manon,"Lyon, France",within an hour,t,2.0,t,45.7339,Entire rental unit,2,,,1125,2,1125,1125.0,0,0,22,2024-10-05,4.87,4.7,f,1,0
6392,Beau 59m² Bien équipé Au Coeur De Lyon,Maria,"Paris, France",within an hour,f,1.0,t,45.744226,Entire rental unit,4,2.0,100.0,1125,2,1125,1125.0,44,242,17,2024-10-21,4.39,4.53,f,1,0
6393,Chambre proche Part Dieu,Justine,"Lyon, France",within a few hours,t,1.0,t,45.7586064552541,Private room in rental unit,1,1.0,39.0,1,1,1,1.0,31,51,9,2024-08-06,4.8,4.76,f,0,0
6394,HONORÊ SUITE SAINT NIZIER,Carine & Daniel,"Lentilly, France",within an hour,f,23.0,t,45.76507,Entire rental unit,2,1.0,114.0,1125,3,1125,1125.0,24,220,2,2024-11-13,4.22,4.67,f,20,0
6395,Le studio cocooning - Hypercentre - Cordeliers,Florian,"Villeurbanne, France",within an hour,t,3.0,t,45.76217,Entire rental unit,2,1.0,71.0,28,2,1125,1125.0,47,257,60,2024-11-28,4.65,4.91,f,1,0
6396,Very tiny studio in Lyon centre,Jovi And Timéo,,within an hour,f,2.0,t,45.7530126874114,Entire rental unit,1,1.0,40.0,365,1,365,365.0,28,58,80,2024-12-09,4.51,4.31,t,2,0
6397,Appartement lumineux avec balcon,Gaspard,"Lyon, France",within an hour,f,1.0,t,45.7479348379367,Entire rental unit,2,1.0,61.0,365,2,365,365.0,29,59,1,2024-12-08,5.0,5.0,f,1,0
6398,Nid Douillet Chic Proche Gare Part Dieu,Brice,"Lyon, France",within an hour,f,46.0,t,45.75248,Entire rental unit,2,1.0,,30,2,1125,1125.0,14,14,10,2024-11-29,4.34,4.18,t,35,0
6399,Lyon: appartement de charme de 115m2,Melodie,"Lyon, France",,f,1.0,t,45.7473418654051,Entire rental unit,4,3.0,,365,4,365,365.0,0,0,0,2022-12-11,5.0,5.0,f,1,0
6400,Appartement T3 moderne Metro D et grande terrasse,Rémy,"Lyon, France",within an hour,t,1.0,t,45.7316881213004,Entire rental unit,4,2.0,98.0,25,5,1125,1125.0,9,57,36,2024-12-09,4.72,4.76,f,1,0
6401,Chambre dans T3 très calme et agréable (Jean Macé),Charles-Henri,,,f,1.0,t,45.7453,Private room in rental unit,2,,,365,1,365,365.0,0,0,0,2023-10-05,4.85,4.95,f,0,0
6402,Appartement charmant Lyon 6 - métro massena,Charline,,within a day,f,1.0,t,45.7702,Entire rental unit,2,1.0,,3,2,3,3.0,0,0,2,2024-12-08,5.0,5.0,f,1,0
6403,Maison de ville agréable et calme,Hayad,"Lyon, France",,f,1.0,t,45.7229300971094,Entire townhouse,4,3.0,60.0,10,6,10,10.0,57,87,0,2022-08-23,4.33,5.0,f,1,0
6404,Studio cosy dans le centre de Lyon,Victoria,"Lyon, France",,f,1.0,t,45.7593724535549,Entire rental unit,2,0.0,68.0,31,5,31,31.0,0,196,7,2024-06-27,4.78,4.7,f,1,0
6405,Le Canut - Quiet AIL,Nadège,,within an hour,f,1.0,f,45.7697892,Entire rental unit,2,0.0,62.0,1125,4,1125,637.1,60,172,3,2024-12-01,4.73,5.0,t,1,0
6406,Magnifique appartement avec vue sur quais de Saône,Charlotte,"Lyon, France",,f,1.0,t,45.7766,Entire condo,5,2.0,,120,3,120,120.0,0,0,0,2023-12-10,5.0,4.5,f,1,0
6407,Chambre dans le Vieux-Lyon,Noémy,"Lyon, France",within a few hours,t,1.0,t,45.76377,Private room in bed and breakfast,1,1.0,52.0,3,1,3,3.0,2,2,36,2024-12-09,4.83,5.0,f,0,0
6408,Canut cosy Croix Roussien,Franco,"Lyon, France",within a day,f,1.0,t,45.77452,Entire condo,3,1.0,150.0,14,2,14,14.0,42,72,0,2023-10-13,4.89,4.78,f,1,0
6409,GuestReady - Chic Loft in 7th Arr.,Aline,,within an hour,t,1.0,f,45.74954,Entire rental unit,2,0.0,80.0,1125,1,1125,198.3,43,348,11,2024-09-22,4.59,4.63,t,1,0
6410,Suite parentale dans rooftop / Lyon 6e,Marie-Caroline,"Lyon, France",,f,1.0,t,45.76403,Private room in rental unit,2,,,1125,2,1125,1125.0,0,0,0,2022-09-25,5.0,5.0,t,0,0
6411,Studio cosy au coeur de la Croix-Rousse,Bastien,"Lyon, France",,f,84.0,t,45.77638,Entire rental unit,3,0.0,46.0,365,2,365,360.0,44,334,67,2024-12-06,4.24,4.83,t,65,0
6412,Dify Etienne Richerand - Part Dieu,Tiphaine & Anne,"Lyon, France",,f,48.0,t,45.76099,Entire rental unit,3,1.0,59.0,1125,3,1125,64.0,45,350,23,2024-11-22,4.54,4.54,t,35,0
6413,Hamac Suites - Le Suchet Perrache - 2 people,Sébastien,"Lyon, France",within an hour,f,25.0,t,45.74609,Entire rental unit,2,0.0,54.0,1125,31,686,503.4,35,340,3,2024-10-10,4.05,4.79,t,15,0
6414,Joli appartement quai de Saône,Marine,"Lyon, France",,f,1.0,f,45.7666308,Entire rental unit,4,1.0,,61,3,61,61.0,0,0,0,2023-01-22,4.64,4.71,f,1,0
6415,"Cosy flat with queen beds, balcony and Netflix",Mary,"Lyon, France",,f,1.0,t,45.7402052,Entire rental unit,8,2.0,,1125,1,1125,1125.0,0,0,0,2023-03-12,4.56,4.67,t,1,0
6416,Superbe appartement 6 pers. 2 chambres - Part Dieu,WeHost,"Lyon, France",within an hour,f,53.0,t,45.7568664979159,Entire rental unit,6,2.0,86.0,90,3,1125,1125.0,44,164,26,2024-11-24,3.96,4.52,f,41,0
6417,HONORÊ SUITE SAINT ANTOINE,Carine & Daniel,"Lentilly, France",within an hour,f,23.0,t,45.76333,Entire rental unit,2,1.0,104.0,1125,3,1125,1125.0,24,222,3,2024-04-06,4.74,4.89,f,20,0
6418,Charmant duplex  avec terrasse,Jean Louis,,within an hour,t,1.0,t,45.7337747,Entire condo,4,2.0,150.0,365,2,365,365.0,36,66,11,2024-12-08,4.86,4.69,f,1,0
6419,Lyon 2 Perrache/Carnot Appart T1bis refait à neuf,Claire,"Auvergne-Rhône-Alpes, France",within an hour,f,3.0,t,45.74814,Entire rental unit,2,1.0,101.0,1125,3,1125,1125.0,35,204,2,2024-08-30,5.0,4.83,f,1,0
6420,Typical Croix-Roussienne house with tiny garden,Brune,"Lyon, France",within an hour,t,1.0,t,45.7790053,Entire home,4,2.0,120.0,120,8,1125,1125.0,49,354,4,2024-11-01,5.0,5.0,f,1,0
6421,Croix Rousse: Appartement 4 pers balcon et parking,WeHost,"Lyon, France",within an hour,f,53.0,t,45.7772591,Entire rental unit,4,2.0,128.0,15,3,15,15.0,52,151,27,2024-12-08,4.54,4.83,f,41,0
6422,"Appartement élégant, coeur 6eme Tête d'Or",Davy,"Lyon, France",within an hour,f,1.0,t,45.7727,Entire rental unit,3,1.0,85.0,365,2,365,365.0,17,289,31,2024-12-08,4.48,4.79,t,1,0
6423,Dify Enjoy - Part Dieu,Agrippine,,,f,43.0,t,45.75708,Entire rental unit,4,1.0,,1125,3,1125,63.6,41,346,19,2024-12-01,4.52,4.55,t,35,0
6424,Appartement - Lyon,Pierre-Alain,"Lyon, France",,f,1.0,t,45.76443,Entire rental unit,4,1.0,140.0,365,1,365,365.0,59,269,0,,,,f,1,0
6425,Studio chaleureux rénové à neuf Lyon 1er,Cyrille,,within an hour,t,2.0,t,45.77103,Entire rental unit,3,0.0,56.0,30,1,1125,1125.0,34,148,54,2024-11-25,4.9,4.81,f,2,0
6426,studio au Centre la Part Dieu,Muyly,,within an hour,f,1.0,t,45.7627936649303,Entire rental unit,2,1.0,58.0,1125,2,1125,1125.0,42,72,55,2024-12-08,4.7,4.76,f,1,0
6427,Appartement proche gare Part Dieu,Bryan,"Lyon, France",within an hour,t,1.0,t,45.75265,Entire rental unit,2,1.0,195.0,120,14,120,120.0,11,48,29,2024-12-08,4.94,4.69,f,1,0
6428,Apparentement balcon et parking,Emmanuel,"Lyon, France",within an hour,f,1.0,t,45.7546932548642,Entire condo,3,2.0,78.0,15,7,15,15.0,14,14,17,2024-12-08,4.93,4.72,f,1,0
6429,Appartement T3 cosy à 10min de la gare Part Dieu,Léna,"Lyon, France",,f,1.0,t,45.7644498,Entire rental unit,6,2.0,,365,2,365,365.0,0,0,0,2023-09-10,5.0,5.0,f,1,0
6430,Superbe appartement avec terrasse Lyon 8,Pauline,"Lyon, France",a few days or more,f,2.0,t,45.74025,Entire rental unit,6,3.0,180.0,7,1,7,7.0,59,364,0,,,,f,1,1
6431,L'escapade - Nice and modern studio - Lyon 8th,Axel,France,within an hour,f,41.0,t,45.74375,Entire rental unit,2,0.0,50.0,1125,2,1125,31.3,39,342,17,2024-10-03,4.53,4.91,t,21,0
6432,Joli Deux pièces au calme .,Sabine,,within an hour,t,1.0,t,45.7362832767485,Entire rental unit,2,1.0,49.0,30,2,30,30.0,29,59,41,2024-11-30,4.8,4.57,f,1,0
6433,Charmant appartement à Jean Macé avec parking,WeHost,"Lyon, France",within an hour,f,53.0,t,45.7423635,Entire rental unit,2,1.0,62.0,90,3,1125,1125.0,27,141,47,2024-12-08,4.54,4.71,f,41,0
6434,Le Duguesclin - Joli studio 4 pers - Métro Foch,Julien,"Lieudieu, France",within an hour,f,1.0,t,45.7677,Entire rental unit,4,0.0,72.0,90,1,90,90.0,32,310,79,2024-12-13,4.68,4.8,t,1,0
6435,Appartement ancien refait à neuf,Morgane,"Lyon, France",a few days or more,f,1.0,t,45.7559577515262,Entire rental unit,4,1.0,98.0,365,1,365,365.0,42,347,0,,,,f,1,0
6436,Lyon appartement cosy,Pauline,"Lyon, France",,f,1.0,t,45.74584,Entire rental unit,4,1.0,,21,1,21,21.0,0,0,0,2023-05-14,4.89,4.84,f,1,0
6437,"Chambre xRousse avec bureau, sdb privative, jardin",Marie-Eve,"Lyon, France",within an hour,f,2.0,t,45.77566,Private room in condo,2,1.0,45.0,6,1,6,6.0,22,229,8,2024-12-05,5.0,4.96,f,1,0
6438,Bel Appartement cœur de Monchat,Jeanne,"Lyon, France",within an hour,t,2.0,t,45.7507052,Entire rental unit,2,1.0,80.0,1125,30,1125,1125.0,29,199,3,2024-08-31,4.89,5.0,f,1,0
6439,Le Raffiné - Sublime studio cosy et moderne,WeHost,"Lyon, France",within an hour,f,53.0,t,45.7538843,Entire rental unit,2,0.0,62.0,90,3,90,90.0,55,175,12,2024-11-23,4.16,4.39,f,41,0
6440,Bel appartement avec terrasse,Guillaume,"Montreal, Canada",,f,1.0,t,45.7497294,Entire rental unit,4,2.0,,365,2,365,365.0,0,0,2,2024-04-14,4.83,4.83,f,1,0
6441,Le Scandinave - Joli appartement 4 pers. Part Dieu,WeHost,"Lyon, France",within an hour,f,53.0,t,45.7559727,Entire rental unit,4,2.0,67.0,90,3,90,90.0,52,172,45,2024-11-11,4.14,4.45,t,41,0
6442,Appartement plein coeur du 7eme arrondissement,Benjamin,"Lyon, France",within an hour,t,1.0,t,45.75273,Entire rental unit,5,2.0,90.0,365,2,365,365.0,20,50,22,2024-12-13,4.43,4.19,f,1,0
6443,Suite parentale parc tête d’or Lyon au pied métro,Stéphanie,"Lyon, France",within an hour,t,3.0,t,45.76976,Private room in rental unit,2,1.0,59.0,730,2,730,730.0,60,365,10,2024-11-22,4.92,5.0,f,1,0
6444,Appartement haut de gamme avec vue sur Fourvière,Xavier,,,f,1.0,t,45.74711,Entire rental unit,6,2.0,250.0,1125,3,1125,1125.0,6,6,2,2024-05-11,4.56,4.67,t,1,0
6445,"Superbe T2 de 50 m2, proximité Parc Blandan",Bertrand,"Lyon, France",,f,1.0,t,45.7451239,Entire rental unit,4,1.0,,7,1,1125,1125.0,0,0,0,,,,f,1,0
6446,"Chambre dans appartement spacieux, Lyon.",Andréa,"Lyon, France",a few days or more,f,2.0,f,45.7852,Private room in condo,2,1.0,82.0,365,1,365,365.0,60,365,1,2024-09-12,4.67,5.0,f,0,0
6447,Splendide Appartement à La Croix Rousse - 6 pers,WeHost,"Lyon, France",within an hour,f,53.0,t,45.7730466,Entire rental unit,6,2.0,90.0,90,3,90,90.0,44,164,26,2024-11-21,4.51,4.77,f,41,0
6448,Appartement idéalement situé avec rooftop,Victoire,"Lyon, France",within a day,f,1.0,t,45.74898,Entire rental unit,2,1.0,93.0,365,2,365,365.0,40,70,2,2024-06-05,4.5,5.0,f,1,0
